label,diameter_mm,circularity,status,center_x,center_y,radius_px
2,17.0,0.529,SHAPE_REJECT,451,1,17
3,12.0,0.56,SHAPE_REJECT,497,5,12
4,16.0,0.586,SHAPE_REJECT,523,9,16
7,18.0,0.566,SHAPE_REJECT,566,14,18
9,16.0,0.572,SHAPE_REJECT,307,19,16
12,26.0,0.497,SHAPE_REJECT,269,11,26
13,22.0,0.558,SHAPE_REJECT,61,21,22
14,19.0,0.557,SHAPE_REJECT,646,17,19
15,11.0,0.793,OK,165,26,11
18,12.0,0.781,OK,384,29,12
19,16.0,0.552,SHAPE_REJECT,542,32,16
23,17.0,0.704,OK,371,46,17
26,15.0,0.749,OK,563,54,15
28,10.0,0.723,OK,442,59,10
30,10.0,0.572,SHAPE_REJECT,15,57,10
31,8.0,0.755,OK,424,60,8
32,15.0,0.683,OK,298,59,15
33,15.0,0.739,OK,384,61,15
34,19.0,0.622,LARGE,597,70,19
36,19.0,0.499,SHAPE_REJECT,75,69,19
37,11.0,0.565,SHAPE_REJECT,626,76,11
38,17.0,0.656,OK,646,75,17
39,9.0,0.818,OK,519,75,9
42,15.0,0.759,OK,162,81,15
43,15.0,0.563,SHAPE_REJECT,32,85,15
44,16.0,0.702,OK,221,85,16
47,12.0,0.592,SHAPE_REJECT,494,100,12
48,24.0,0.509,SHAPE_REJECT,480,90,24
49,12.0,0.817,OK,597,102,12
51,19.0,0.68,LARGE,424,100,19
52,26.0,0.574,SHAPE_REJECT,84,108,26
53,15.0,0.768,OK,367,106,15
54,17.0,0.709,OK,29,112,17
55,17.0,0.69,OK,636,112,17
59,13.0,0.81,OK,449,130,13
61,20.0,0.652,LARGE,573,132,20
63,15.0,0.531,SHAPE_REJECT,125,145,15
64,14.0,0.252,SHAPE_REJECT,98,152,14
65,16.0,0.335,SHAPE_REJECT,51,161,16
68,13.0,0.647,OK,605,159,13
70,11.0,0.352,SHAPE_REJECT,28,164,11
73,15.0,0.818,OK,272,166,15
74,13.0,0.592,SHAPE_REJECT,146,175,13
75,13.0,0.757,OK,468,179,13
76,14.0,0.776,OK,494,179,14
77,12.0,0.678,OK,72,186,12
78,14.0,0.815,OK,346,187,14
79,11.0,0.797,OK,609,185,11
80,15.0,0.155,SHAPE_REJECT,36,184,15
81,16.0,0.834,OK,375,189,16
82,20.0,0.747,LARGE,205,190,20
83,18.0,0.416,SHAPE_REJECT,171,192,18
85,13.0,0.688,OK,315,193,13
86,14.0,0.735,OK,566,199,14
90,8.0,0.507,SHAPE_REJECT,33,206,8
91,17.0,0.478,SHAPE_REJECT,235,202,17
92,28.0,0.124,SHAPE_REJECT,66,215,28
95,11.0,0.728,OK,609,221,11
97,16.0,0.705,OK,551,221,16
100,15.0,0.815,OK,446,227,15
102,17.0,0.499,SHAPE_REJECT,576,230,17
103,26.0,0.151,SHAPE_REJECT,26,237,26
104,8.0,0.466,SHAPE_REJECT,60,236,8
106,14.0,0.804,OK,159,248,14
108,14.0,0.825,OK,499,256,14
111,22.0,0.765,LARGE,532,261,22
112,14.0,0.802,OK,290,262,14
114,13.0,0.701,OK,113,267,13
116,8.0,0.879,OK,632,274,8
117,18.0,0.665,OK,71,277,18
118,22.0,0.52,SHAPE_REJECT,595,290,22
119,18.0,0.805,OK,206,287,18
121,14.0,0.577,SHAPE_REJECT,492,291,14
122,10.0,0.859,OK,147,293,10
124,13.0,0.427,SHAPE_REJECT,626,305,13
125,9.0,0.703,OK,43,302,9
128,12.0,0.408,SHAPE_REJECT,63,308,12
129,15.0,0.807,OK,321,306,15
130,13.0,0.733,OK,512,307,13
132,17.0,0.802,OK,261,311,17
134,24.0,0.601,LARGE,588,323,24
135,13.0,0.761,OK,493,318,13
136,11.0,0.586,SHAPE_REJECT,636,320,11
138,9.0,0.666,OK,82,330,9
139,11.0,0.527,SHAPE_REJECT,623,328,11
141,15.0,0.73,OK,528,338,15
143,13.0,0.759,OK,187,338,13
146,15.0,0.741,OK,248,343,15
148,14.0,0.619,OK,563,345,14
150,12.0,0.263,SHAPE_REJECT,50,349,12
154,20.0,0.281,SHAPE_REJECT,73,357,20
155,13.0,0.714,OK,131,359,13
156,14.0,0.358,SHAPE_REJECT,7,352,14
157,14.0,0.761,OK,589,366,14
158,18.0,0.722,OK,472,374,18
159,17.0,0.644,OK,539,372,17
161,23.0,0.245,SHAPE_REJECT,38,383,23
162,13.0,0.84,OK,268,375,13
163,30.0,0.466,SHAPE_REJECT,102,373,30
164,12.0,0.79,OK,616,377,12
166,9.0,0.769,OK,650,383,9
167,14.0,0.836,OK,218,387,14
169,17.0,0.562,SHAPE_REJECT,559,394,17
170,15.0,0.798,OK,465,393,15
171,23.0,0.616,LARGE,145,395,23
176,14.0,0.19,SHAPE_REJECT,60,419,14
184,15.0,0.615,OK,553,427,15
186,13.0,0.259,SHAPE_REJECT,12,434,13
187,10.0,0.371,SHAPE_REJECT,75,439,10
192,18.0,0.632,OK,366,447,18
193,18.0,0.307,SHAPE_REJECT,315,462,18
194,9.0,0.584,SHAPE_REJECT,297,451,9
196,12.0,0.725,OK,128,450,12
197,11.0,0.808,OK,170,452,11
200,29.0,0.143,SHAPE_REJECT,41,469,29
202,15.0,0.261,SHAPE_REJECT,75,464,15
204,8.0,0.423,SHAPE_REJECT,7,467,8
205,16.0,0.212,SHAPE_REJECT,288,464,16
207,26.0,0.394,SHAPE_REJECT,644,448,26
210,14.0,0.61,OK,430,470,14
