epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0596,2.28048,4.10058,1.40346,0,0,0,0,1.9451,4.10927,1.19957,0.000175,0.000175,0.000175
2,105.92,2.06444,3.3599,1.17429,0.06636,0.24356,0.16182,0.08151,1.77489,3.66333,1.06722,0.000358911,0.000358911,0.000358911
3,159.217,1.96258,2.71411,1.08829,0.65603,0.17153,0.21319,0.09891,1.80923,3.02034,1.09031,0.00053911,0.00053911,0.00053911
4,210.414,1.95997,2.35521,1.08974,0.49215,0.29652,0.2511,0.14062,1.75511,2.06739,1.06734,0.000715596,0.000715596,0.000715596
5,261.351,1.90479,2.23036,1.08665,0.49586,0.37168,0.27598,0.15144,1.74132,1.78352,1.07196,0.00088837,0.00088837,0.00088837
6,312.074,1.91859,1.9951,1.09474,0.49989,0.39807,0.27963,0.14175,1.83025,1.68439,1.09032,0.00105743,0.00105743,0.00105743
7,364.079,1.94066,1.92969,1.09725,0.58384,0.34117,0.30324,0.15527,1.81841,1.66407,1.1072,0.00117575,0.00117575,0.00117575
8,416.269,1.93924,1.79333,1.09548,0.56829,0.37457,0.29274,0.16315,1.80491,1.89617,1.10605,0.00116337,0.00116337,0.00116337
9,466.367,1.9392,1.73901,1.08648,0.55429,0.39317,0.30856,0.16373,1.82214,1.65111,1.09192,0.001151,0.001151,0.001151
10,509.195,1.96505,1.72761,1.08344,0.5408,0.43282,0.3178,0.17348,1.67363,1.48159,1.05213,0.00113863,0.00113863,0.00113863
11,544.09,1.90239,1.67917,1.08841,0.52869,0.48824,0.32886,0.17846,1.68124,1.49394,1.05227,0.00112625,0.00112625,0.00112625
12,579.553,1.83768,1.57285,1.07522,0.54326,0.46305,0.34084,0.20403,1.52163,1.38872,1.02279,0.00111388,0.00111388,0.00111388
13,614.413,1.83531,1.59318,1.08885,0.5712,0.43368,0.35654,0.21075,1.53126,1.32426,1.03072,0.0011015,0.0011015,0.0011015
14,649.439,1.80062,1.53917,1.07378,0.5455,0.46331,0.35019,0.20216,1.62411,1.3224,1.04107,0.00108913,0.00108913,0.00108913
15,684.568,1.76273,1.52895,1.07164,0.53409,0.42155,0.32941,0.18956,1.55555,1.31142,1.02388,0.00107675,0.00107675,0.00107675
16,721.056,1.73831,1.49622,1.06007,0.53805,0.41139,0.33407,0.19931,1.4988,1.29081,1.01752,0.00106437,0.00106437,0.00106437
17,757.581,1.72121,1.44527,1.04096,0.56701,0.42178,0.34493,0.20434,1.52903,1.27305,1.01357,0.001052,0.001052,0.001052
18,793.547,1.73929,1.43981,1.04559,0.56818,0.41104,0.3383,0.20901,1.4467,1.22208,0.99742,0.00103962,0.00103962,0.00103962
19,829.493,1.67718,1.42905,1.03752,0.54673,0.41846,0.34349,0.20938,1.43647,1.21056,0.9995,0.00102725,0.00102725,0.00102725
20,865.106,1.67029,1.40572,1.04491,0.56578,0.46343,0.35144,0.21646,1.40673,1.215,1.00062,0.00101488,0.00101488,0.00101488
21,903.968,1.6679,1.38305,1.033,0.57348,0.46937,0.35999,0.21612,1.45327,1.23567,1.0013,0.0010025,0.0010025,0.0010025
22,941.446,1.62203,1.36332,1.03145,0.56216,0.44334,0.36922,0.22371,1.40907,1.1602,0.99353,0.000990125,0.000990125,0.000990125
23,977.856,1.66058,1.34286,1.04814,0.5684,0.43787,0.35896,0.21971,1.41241,1.16449,0.99419,0.00097775,0.00097775,0.00097775
24,1014.12,1.60209,1.31964,1.02486,0.58509,0.46023,0.3662,0.22443,1.41325,1.20087,0.98841,0.000965375,0.000965375,0.000965375
