epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1641,2.04698,5.79296,1.28126,0.57662,0.41276,0.31555,0.12442,2.33057,5.03982,1.39441,0.0003375,0.0003375,0.0003375
2,156.499,1.78084,4.82809,1.13955,0.48511,0.39097,0.26573,0.11178,1.78035,4.40469,1.12142,0.000684097,0.000684097,0.000684097
3,230.867,1.77075,4.63011,1.11598,0.4882,0.28637,0.22939,0.06764,2.23343,5.30071,1.2927,0.00102723,0.00102723,0.00102723
4,308.968,1.74376,4.52804,1.16108,0.51727,0.34431,0.26033,0.0898,2.12395,4.81374,1.28485,0.00123144,0.00123144,0.00123144
5,387.644,1.68412,4.32563,1.13295,0.5297,0.37043,0.3772,0.17893,1.76836,3.92906,1.10409,0.00122525,0.00122525,0.00122525
6,466.74,1.63437,4.11913,1.1138,0.32316,0.56169,0.37004,0.20903,1.58688,4.08296,1.0459,0.00121906,0.00121906,0.00121906
7,549.385,1.61578,4.06886,1.1021,0.32609,0.45476,0.36047,0.16642,1.82852,4.4353,1.13229,0.00121287,0.00121287,0.00121287
8,618.81,1.60511,4.02443,1.10482,0.27585,0.50092,0.36157,0.14447,1.96052,4.07784,1.18827,0.00120669,0.00120669,0.00120669
9,697.296,1.56897,3.89501,1.1045,0.33417,0.48234,0.37817,0.20749,1.59218,3.73643,1.05763,0.0012005,0.0012005,0.0012005
10,771.513,1.54887,3.77965,1.08495,0.65211,0.44045,0.40598,0.21504,1.73491,3.6961,1.08912,0.00119431,0.00119431,0.00119431
11,849.029,1.56192,3.85493,1.10657,0.34159,0.44719,0.37458,0.16814,1.95774,3.88221,1.16653,0.00118812,0.00118812,0.00118812
12,933.416,1.57425,3.69707,1.09763,0.39986,0.47782,0.40411,0.21332,1.64859,3.61291,1.06052,0.00118194,0.00118194,0.00118194
13,1019.86,1.55601,3.71705,1.09879,0.61828,0.44765,0.39295,0.21329,1.66083,3.88997,1.07287,0.00117575,0.00117575,0.00117575
14,1103.06,1.54639,3.69867,1.07915,0.62086,0.45485,0.40738,0.24052,1.4786,3.54543,1.01732,0.00116956,0.00116956,0.00116956
15,1184.54,1.53594,3.64418,1.09501,0.60126,0.40282,0.36992,0.18582,1.76378,3.77903,1.11812,0.00116337,0.00116337,0.00116337
16,1269.34,1.59003,3.69146,1.0928,0.5669,0.40177,0.34849,0.14941,1.97308,3.89239,1.18975,0.00115719,0.00115719,0.00115719
17,1354.4,1.52342,3.57898,1.08933,0.6122,0.45707,0.41752,0.24476,1.48259,3.4344,1.03008,0.001151,0.001151,0.001151
18,1439.24,1.55034,3.69281,1.1054,0.40142,0.51719,0.44453,0.24256,1.5662,3.41423,1.0604,0.00114481,0.00114481,0.00114481
19,1525.46,1.51258,3.54393,1.08632,0.58705,0.4839,0.41479,0.20901,1.81223,3.62944,1.12427,0.00113863,0.00113863,0.00113863
